Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
1,"I van Heijningen, K Frank, F Almeida…","﻿ EASAPS/ESPRAS Considerations in getting back to work in Plastic Surgery with the COVID-19 Pandemic–A European point of view",2020,"Handchirurgie …","thieme-connect.com","https://www.thieme-connect.com/products/ejournals/html/10.1055/a-1175-4169","https://scholar.google.com/scholar?cites=13257760079195395646&as_sdt=2005&sciodt=0,5&hl=en",399,"2020-06-03 23:58:10","HTML","","","",,,,,1,1.00,0,4,1,"… Consider the possibility that COVID-19 positive and recovered patients have a degree of hypercoagulability so appropriate measures should be taken. Consider postponing high-risk patients when risk outweighs the benefit …"
0,"I van Heijningen, K Frank, F Almeida, U Bösch…","… the COVID-19 Pandemic–A European point of view EASAPS/ESPRAS-Überlegungen zur Rückkehr in den plastisch-chirurgischen Alltag während der COVID …",,"espras.org","","http://www.espras.org/wp-content/uploads/2020/05/EASAPS-ESPRAS-Considerations-in-getting-back-to-work-in-Plastic-Surgery-with-the-COVID-19-Pandemic.pdf","",400,"2020-06-03 23:58:10","PDF","","","",,,,,0,0.00,0,5,,"… Consider the possibility that COVID-19 positive and recovered patients have a degree of hypercoagulability so appro- priate measures should be taken. Consider postponing high-risk patients when risk outweighs the benefit …"
16,"BH OBE, A Retter, C McClintock","… guidance for the prevention of thrombosis and management of coagulopathy and disseminated intravascular coagulation of patients infected with COVID-19",2020,"","covid-19.seth.es","https://www.covid-19.seth.es/wp-content/uploads/2020/04/TH-and-COVID.pdf","https://scholar.google.com/scholar?cites=16881656239219421008&as_sdt=2005&sciodt=0,5&hl=en",32,"2020-06-03 23:58:10","PDF","","","",,,,,16,16.00,5,3,1,"… Patients with severe COVID-19 are immobile, have an acute inflammatory state leading to a hypercoagulable state. There is also the possibility of endothelial cell activation/damage due to binding of the virus to ACE2 receptor …"
0,"C Bryce, Z Grimes, E Pujadas, S Ahuja, MB Beasley…","… cells renders a complex disease with thrombotic microangiopathy and aberrant immune response. The Mount Sinai COVID-19 autopsy experience",2020,"medRxiv","medrxiv.org","https://www.medrxiv.org/content/10.1101/2020.05.18.20099960v1.full","",198,"2020-06-03 23:58:10","HTML","","","",,,,,0,0.00,0,6,1,"… Pathophysiology of SARS-CoV-2: targeting of endothelial cells renders a complex disease with thrombotic microangiopathy and aberrant immune response. The Mount Sinai COVID-19 autopsy experience. Clare Bryce, Zachary …"
0,"W Damsky, B King","… Storm: The Potential Role of JAK Inhibitors in Treating COVID-19 Calming the Cytokine Storm: The Potential Role of JAK Inhibitors in Treating COVID-19",,"the-dermatologist.com","","https://www.the-dermatologist.com/article/calming-cytokine-storm-potential-role-jak-inhibitors-treating-covid-19","",372,"2020-06-03 23:58:10","HTML","","","",,,,,0,0.00,0,2,,"… It is currently not understood if or how CRS is related to the hypercoagulability that develops in some critically ill COVID-19 patients. Mechanistic evaluation of potential links between CRS and the coagulopathy will be informative …"
0,"C Jimeno, MC Anonuevo-Cruz…","… Division of Endocrinology, Diabetes & Metabolism Consensus Recommendations for In-Patient Management of Diabetes Mellitus among Persons with COVID-19",2020,"Journal of the …","asean-endocrinejournal.org","https://asean-endocrinejournal.org/index.php/JAFES/article/view/821","",297,"2020-06-03 23:58:10","","","","",,,,,0,0.00,0,3,1,"… since apart from COVID-19-related inflammatory processes, insulin resistance and Type 2 diabetes mellitus are associated with endothelial dysfunction, and enhanced platelet aggregation and activation. These abnormalities contribute to the development of a hypercoagulable …"
0,"C Jimeno, MC Anonuevo-Cruz…","… Division of Endocrinology, Diabetes & Metabolism Consensus Recommendations for In-Patient Management of Diabetes Mellitus among Persons with COVID-19",2020,"Journal of the …","asean-endocrinejournal.org","https://asean-endocrinejournal.org/index.php/JAFES/article/view/821","",317,"2020-06-03 23:58:10","","","","",,,,,0,0.00,0,3,1,"… since apart from COVID-19-related inflammatory processes, insulin resistance and Type 2 diabetes mellitus are associated with endothelial dysfunction, and enhanced platelet aggregation and activation. These abnormalities contribute to the development of a hypercoagulable …"
0,"AC Spyropoulos, JH Levy, W Ageno…","… Committee Communication: Clinical Guidance on the Diagnosis, Prevention and Treatment of Venous Thromboembolism in Hospitalized Patients with COVID‐19",2020,"… of Thrombosis and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/jth.14929","",407,"2020-06-03 23:58:10","","","","",,,,,0,0.00,0,4,1,"… severe acute respiratory syndrome (SARS) and Middle East respiratory syndrome (MERS-CoV) [3–6] . COVID-19 is associated with marked abnormalities in markers of hypercoagulability, including elevated levels of D-dimer …"
0,"I Solaimanzadeh","… Amlodipine Are Associated With Improved Mortality and Decreased Risk for Intubation and Mechanical Ventilation in Elderly Patients Hospitalized for COVID …",2020,"Cureus","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7219014/","",397,"2020-06-03 23:58:10","HTML","","","",,,,,0,0.00,0,1,1,"… Altogether, the improved flow may attenuate the precipitous progression of the disease. Virchow's triad highlights three aspects compromising blood flow: stasis, hypercoagulability, and endothelial injury. All three may be occurring in advanced COVID-19 …"
0,"S Ashraf, F Mabood, MF Nadeem, MA Imran, S Khalid…","“Friend or Foe”—Supplemental Oxygen for COVID-19 patients debunked",,"osf.io","","https://osf.io/preprints/mx7dv/","",288,"2020-06-03 23:58:10","","","","",,,,,0,0.00,0,6,,"… pneumonia and is rather a systemic syndrome. A wide variety of additional clinical 166 presentations manifested by COVID-19 patients supports this notion. The presentations 167 include, but are not limited to, a hypercoagulable state causing myocardial infarction with 168 …"
0,"S Ashraf, F Mabood, MF Nadeem, MA Imran, S Khalid…","“Friend or Foe”—Supplemental Oxygen for COVID-19 patients debunked",,"osf.io","","https://osf.io/preprints/mx7dv/","",306,"2020-06-03 23:58:10","","","","",,,,,0,0.00,0,6,,"… pneumonia and is rather a systemic syndrome. A wide variety of additional clinical 166 presentations manifested by COVID-19 patients supports this notion. The presentations 167 include, but are not limited to, a hypercoagulable state causing myocardial infarction with 168 …"
0,"R Pescatore","What to DO: Ready for COVID-19—and Every Chart in the Rack",2020,"Emergency Medicine News","journals.lww.com","https://journals.lww.com/em-news/Fulltext/2020/06000/What_to_D_O___Ready_for_COVID_19___and_Every_Chart.5.aspx","",401,"2020-06-03 23:58:10","","","","",,,,,0,0.00,0,1,1,"You may be trying to access this site from a secured browser on the server. Please enable scripts and reload this page. Log in Your account has been temporarily locked Your account has been temporarily locked due to incorrect …"
0,"JT England, A Abdulla, CM Biggs, AYY Lee, KA Hay…","Weathering the COVID-19 storm: Lessons from hematologic cytokine syndromes",2020,"Blood Reviews","Elsevier","https://www.sciencedirect.com/science/article/pii/S0268960X20300576","",203,"2020-06-03 23:58:10","","","","",,,,,0,0.00,0,6,1,"… COVID-19 campus closures: see options for getting or retaining Remote Access to subscribed content. Download PDFDownload. Share. Export. Advanced. Elsevier … Blood Reviews. Review. Weathering the COVID-19 storm: Lessons from hematologic cytokine syndromes …"
