pid	title	sent	label	prob
ld0vo1rl	COVID-19 coronavirus vaccine design using reverse vaccinology and machine learning	To ultimately combat the emerging COVID-19 pandemic, it is desired to develop an effective and safe vaccine against this highly contagious disease caused by the SARS-CoV-2 coronavirus.	1	0.7704122673047837
m5ho8jqp	SARS-CoV-2 Vaccines: Status Report	SARS-CoV-2, the causal agent of COVID-19, first emerged in late 2019 in China.	-1	0.5
fway438n	Sanofi, BARDA team for coronavirus vaccine	Sanofi Pasteur is working with the US Biomedical Advanced Research and Development Authority (BARDA) to develop a vaccine against the novel coronavirus, known as severe acute respiratory syndrome-CoV-2, which as of Feb. 20 had infected more than 75,000 people and killed more than 2,100.	1	0.7704122673047837
2uvibr2j	Designing of a next generation multiepitope based vaccine (MEV) against SARS-COV-2: Immunoinformatics and in silico approaches	Coronavirus disease 2019 (COVID-19) associated pneumonia caused by severe acute respiratory coronavirus 2 (SARS-COV-2) was first reported in Wuhan, China in December 2019.	1	0.7704122673047837
yb5kf0u2	Microneedle array delivered recombinant coronavirus vaccines: Immunogenicity and rapid translational development	 Background Coronaviruses pose a serious threat to global health as evidenced by Severe Acute Respiratory Syndrome (SARS), Middle East Respiratory Syndrome (MERS), and COVID-19.	1	0.7704122673047837
8gncbgot	Potential Rapid Diagnostics, Vaccine and Therapeutics for 2019 Novel Coronavirus (2019-nCoV): A Systematic Review	Rapid diagnostics, vaccines and therapeutics are important interventions for the management of the 2019 novel coronavirus (2019-nCoV) outbreak.	1	0.8387733020104001
5sfwyn9g	Coronavirus 2019-nCoV: Is the genie already out of the bottle?	Coronavirus 2019-nCoV: Is the genie already out of the bottle?	1	0.7704122673047837
x95h80nq	Measures for diagnosing and treating infections by a novel coronavirus responsible for a pneumonia outbreak originating in Wuhan, China	 On 10 January 2020, a new coronavirus causing a pneumonia outbreak in Wuhan City in central China was denoted as 2019-nCoV by the World Health Organization (WHO).	1	0.7704122673047837
eahhf7yh	COVID-19 pneumonia: what has CT taught us?	COVID-19 pneumonia: what has CT taught us?	-1	0.5
80m78jh2	Structural basis to design multi-epitope vaccines against Novel Coronavirus 19 (COVID19) infection, the ongoing pandemic emergency: an in silico approach	The 2019 novel coronavirus (COVID19 / Wuhan coronavirus), officially named as Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2), is a positive-sense single-stranded RNA coronavirus.	1	0.7704122673047837
lg45goe2	Gilead and Moderna lead on coronavirus treatments	wo US biotech firms have positioned themselves as front-runners fighting the novel coronavirus, called SARS-CoV-2.	1	0.7704122673047837
rxrlbw60	2019-nCoV (Wuhan virus), a novel Coronavirus: Human-to-human transmission, travel-related cases, and vaccine readiness	On 31 December 2019 the Wuhan Health Commission reported a cluster of atypical pneumonia cases that was linked to a wet market in the city of Wuhan, China.	-1	0.5
nror02j6	COVID-19 Update – March 2020 | Global Health | JN Learning | JAMA Ed Hub [Video recording]	Coronavirus testing, mortality, vaccine development, containment vs mitigation, and more.	1	0.7704122673047837
gu2mt6zp	Emergence of Novel Coronavirus 2019-nCoV: Need for Rapid Vaccine and Biologics Development	Novel Coronavirus (2019-nCoV) is an emerging pathogen that was first identified in Wuhan, China in late December 2019.	1	0.7704122673047837
pidar1gz	Research and Development on Therapeutic Agents and Vaccines for COVID-19 and Related Human Coronavirus Diseases	Since the outbreak of the novel coronavirus disease COVID-19, caused by the SARS-CoV-2 virus, this disease has spread rapidly around the globe.	1	0.7704122673047837
cko9o39t	Novel coronavirus is putting the whole world on alert	Novel coronavirus is putting the whole world on alert	1	0.7704122673047837
b1iyr42n	Structural, glycosylation and antigenic variation between 2019 novel coronavirus (2019-nCoV) and SARS coronavirus (SARS-CoV)	The emergence of 2019 novel coronavirus (2019-nCoV) is of global concern and might have emerged from RNA recombination among existing coronaviruses.	1	0.7704122673047837
2m6ks6nd	The outbreak of Coronavirus Disease 2019 (COVID-19)—An emerging global health threat	 The outbreak of Coronavirus Disease 2019 (COVID-19) causing novel coronavirus-infected pneumonia (NCIP), has affected the lives of 71,429 people globally.	1	0.7704122673047837
yk9u4fvp	Perceptions of the Adult US Population regarding the Novel Coronavirus Outbreak	Background: COVID-19 outbreak is spreading globally.	-1	0.5
fmumym1x	Prediction and Evolution of B Cell Epitopes of Surface Protein in SARS-CoV-2	The discovery of epitopes is helpful to the development of SARS-CoV-2 vaccine.	-1	0.5
1mjaycee	COVID-19 infection: Origin, transmission, and characteristics of human coronaviruses	The coronavirus disease 19 (COVID-19) is a highly transmittable and pathogenic viral infection caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), which emerged in Wuhan, China and spread around the world.	1	0.7704122673047837
mu413rvc	Estimation of the probability of reinfection with COVID-19 coronavirus by the SEIRUS model	With sensitivity of the Polymerase Chain Reaction (PCR) test used to detect the presence of the virus in the human host, the global health community has been able to record a great number of recovered population.	-1	0.5
rl2qxd03	The SARS-CoV-2 Vaccine Pipeline: an Overview	The goal of this review is to provide a timely overview on efforts to develop a vaccine for the 2019 novel coronavirus SARS-CoV-2, the causative agent of coronavirus disease (COVID-19).	1	0.7704122673047837
1qkwsh6a	Emerging novel coronavirus (2019-nCoV)—current scenario, evolutionary perspective based on genome analysis and recent developments	Coronaviruses are the well-known cause of severe respiratory, enteric and systemic infections in a wide range of hosts including man, mammals, fish, and avian.	1	0.7704122673047837
zpaqd5vd	COVID-19: Knowns, Unknowns, and Questions	The recent emergence of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) from the Hubei province in China in late 2019 demonstrates the epidemic potential of coronaviruses.	1	0.7704122673047837
c4pcztdc	Functional Cell Receptors for Human Coronavirus	Viruses infect host cells by binding to receptors on thesurface of cells.	-1	0.5
g9wmlvnq	Voice from China: nomenclature of the novel coronavirus and related diseases	Voice from China: nomenclature of the novel coronavirus and related diseases	1	0.7704122673047837
rziv5342	Prevention Is Better Than the Cure: Risk Management of COVID-19	A novel coronavirus was reported to the World Health Organization (WHO) in China on 31 December 2019.	1	0.7704122673047837
oq79dfhr	Structure of novel coronavirus’s spike protein solved	n a piece of research accomplished with astonishing speed, scientists from the University of Texas at Austin and the National Institutes of Health have released a cryo-electron microscopy (cryo-EM) structure of part of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the novel coronavirus that has infected tens of thousands of people and killed more than 2,000 since the end of December (Science 2020, DOI: 10.1126/science.abb2507).	1	0.7704122673047837
2tu707ng	Potential Interventions for Novel Coronavirus in China: A Systemic Review	An outbreak of a novel coronavirus (COVID-19 or 2019-CoV) infection has posed significant threats to international health and the economy.	1	0.7704122673047837
ctd9sutv	Is COVID-19 receiving ADE from other coronaviruses?	 One of the most perplexing questions regarding the current COVID-19 coronavirus epidemic is the discrepancy between the severity of cases observed in the Hubei province of China and those occurring elsewhere in the world.	1	0.7704122673047837
ckay4ufw	MATHEMATICAL PREDICTIONS FOR COVID-19 AS A GLOBAL PANDEMIC	This study shows that the disease free equilibrium (E_0 ) for COVID-19 coronavirus does not satisfy the criteria for a locally or globally asymptotic stability.	1	0.7704122673047837
679qfp2s	Lack of Antiviral Activity of Darunavir against SARS-CoV-2	Given the high need and the absence of specific antivirals for treatment of COVID-19 (the disease caused by severe acute respiratory syndrome-associated coronavirus-2 [SARS-CoV-2]), human immunodeficiency virus (HIV) protease inhibitors are being considered as therapeutic alternatives.	1	0.7704122673047837
szsb1oan	The deadly coronaviruses: The 2003 SARS pandemic and the 2020 novel coronavirus epidemic in China	 The 2019-nCoV is officially called SARS-CoV-2 and the disease is named COVID-19.	-1	0.5
nzvuugls	Puzzle of highly pathogenic human coronaviruses (2019-nCoV)	Puzzle of highly pathogenic human coronaviruses (2019-nCoV)	1	0.7704122673047837
d52yx420	Coronavirus disease (COVID-19): The need to maintain regular physical activity while taking precautions	Coronavirus disease (COVID-19): The need to maintain regular physical activity while taking precautions	1	0.7704122673047837
hicqy5sj	Molecular mechanism of evolution and human infection with the novel coronavirus (2019-nCoV)	Since December, 2019, an outbreak of pneumonia caused by the new coronavirus (2019-nCoV) has hit the city of Wuhan in the Hubei Province.	1	0.7704122673047837
c4u0gxp5	Overview of The 2019 Novel Coronavirus (2019-nCoV): The Pathogen of Severe Specific Contagious Pneumonia (SSCP)	In late December 2019 a previous unidentified coronavirus, currently named as the 2019 novel coronavirus (2019-nCoV), emerged from Wuhan, China and resulted in a formidable outbreak in many cities in China and expanding globally, including Thailand, Republic of Korea, Japan, USA, Philippines, Viet Nam, and our country (as of 2/6/2020 at least 25 countries).	1	0.7704122673047837
c4u0gxp5	The outbreak of COVID-19: An overview	In late December 2019, a previous unidentified coronavirus, currently named as the 2019 novel coronavirus#, emerged from Wuhan, China, and resulted in a formidable outbreak in many cities in China and expanded globally, including Thailand, Republic of Korea, Japan, United States, Philippines, Viet Nam, and our country (as of 2/6/2020 at least 25 countries).	1	0.7704122673047837
iy9vjpuh	Potential Maternal and Infant Outcomes from (Wuhan) Coronavirus 2019-nCoV Infecting Pregnant Women: Lessons from SARS, MERS, and Other Human Coronavirus Infections	In early December 2019 a cluster of cases of pneumonia of unknown cause was identified in Wuhan, a city of 11 million persons in the People&rsquo;s Republic of China.	-1	0.5
ejg393zs	Novel Coronavirus Disease 2019 (COVID-19): An Emerging Infectious Disease in the 21st Century	Background: At the beginning of the New Year 2020, China alerted the world health organization (WHO) to a cluster of unusual pneumonia cases in Wuhan.	-1	0.5
gchlbnmt	Routine childhood immunization may protect against COVID-19	Routine childhood immunization may protect against COVID-19	-1	0.5
luxgc7st	From SARS to COVID-19: A previously unknown SARS- related coronavirus (SARS-CoV-2) of pandemic potential infecting humans – Call for a One Health approach	Human coronaviruses continue to pose a threat to human health.	1	0.7704122673047837
